tract,GEOID,latitude,longitude,renter_occupied
3521.01,25017352101,42.371642,-71.07397,1564
3521.02,25017352102,42.3685228,-71.0758378,785
3522,25017352200,42.3719651,-71.085125,835
3523,25017352300,42.3662197,-71.0835011,2161
3524,25017352400,42.3650343,-71.0934341,594
3525,25017352500,42.368235,-71.0978873,957
3526,25017352600,42.3694072,-71.0912216,883
3527,25017352700,42.3734746,-71.0936021,835
3528,25017352800,42.3717557,-71.0963101,535
3529,25017352900,42.3724814,-71.1033526,623
3530,25017353000,42.3677877,-71.1032789,1168
3531.01,25017353101,42.3625359,-71.0990808,1719
3531.02,25017353102,42.3601076,-71.0909495,509
3532,25017353200,42.3584986,-71.1057832,1399
3533,25017353300,42.3585142,-71.1110542,784
3536,25017353600,42.3805404,-71.1154594,1027
3537,25017353700,42.3745268,-71.1122878,1010
3538,25017353800,42.3708052,-71.1096338,1433
3539,25017353900,42.3662691,-71.1162109,1127
3540,25017354000,42.380987,-71.1226248,1352
3541,25017354100,42.3748851,-71.1256481,465
3542,25017354200,42.3734076,-71.135224,255
3543,25017354300,42.3830878,-71.1471164,920
3544,25017354400,42.3833722,-71.1372911,294
3545,25017354500,42.3847449,-71.12504,344
3546.01,25017354601,42.390845,-71.1491066,760
3546.02,25017354602,42.3876828,-71.1359698,1275
3547,25017354700,42.3895812,-71.1226285,656
3548,25017354800,42.3926658,-71.1279416,546
3549.01,25017354901,42.3964207,-71.1489645,1778
3549.02,25017354902,42.3946771,-71.1357395,1365
3550,25017355000,42.3985275,-71.1342815,748
